epoch,phase,loss,acc1,acc5,lr,elapsed
1,train,0.389783,0.8827,0.9860,1.00e-03,1.1
1,val,0.136586,0.9586,0.9986,1.00e-03,1.3
2,train,0.191370,0.9423,0.9975,9.94e-04,0.7
2,val,0.097591,0.9692,0.9991,9.94e-04,0.9
3,train,0.149173,0.9534,0.9982,9.76e-04,0.7
3,val,0.085029,0.9718,0.9998,9.76e-04,0.9
4,train,0.127877,0.9590,0.9988,9.46e-04,0.7
4,val,0.076531,0.9767,0.9998,9.46e-04,0.9
5,train,0.114275,0.9630,0.9990,9.05e-04,0.7
5,val,0.071203,0.9775,0.9995,9.05e-04,0.9
6,train,0.100836,0.9674,0.9989,8.54e-04,0.7
6,val,0.067296,0.9793,0.9998,8.54e-04,0.9
7,train,0.095223,0.9684,0.9993,7.94e-04,0.7
7,val,0.064958,0.9785,0.9996,7.94e-04,0.9
8,train,0.086247,0.9720,0.9992,7.27e-04,0.7
8,val,0.064102,0.9796,0.9997,7.27e-04,0.9
9,train,0.081610,0.9731,0.9993,6.55e-04,1.1
9,val,0.058970,0.9812,0.9999,6.55e-04,1.2
10,train,0.072761,0.9764,0.9995,5.78e-04,0.7
10,val,0.059603,0.9813,0.9999,5.78e-04,0.9
11,train,0.071276,0.9767,0.9995,5.00e-04,0.7
11,val,0.057302,0.9807,0.9996,5.00e-04,0.9
12,train,0.066900,0.9781,0.9994,4.22e-04,0.7
12,val,0.055053,0.9817,0.9997,4.22e-04,0.9
13,train,0.060391,0.9802,0.9996,3.45e-04,0.7
13,val,0.054102,0.9816,0.9999,3.45e-04,0.9
14,train,0.060129,0.9802,0.9994,2.73e-04,0.7
14,val,0.052831,0.9822,0.9999,2.73e-04,0.9
15,train,0.058960,0.9811,0.9994,2.06e-04,0.7
15,val,0.054114,0.9822,0.9998,2.06e-04,0.9
16,train,0.053365,0.9829,0.9996,1.46e-04,0.7
16,val,0.053129,0.9822,0.9999,1.46e-04,0.9
17,train,0.053939,0.9823,0.9996,9.55e-05,0.7
17,val,0.053388,0.9834,0.9999,9.55e-05,0.9
18,train,0.054686,0.9821,0.9996,5.45e-05,0.7
18,val,0.053449,0.9821,0.9999,5.45e-05,0.9
19,train,0.051499,0.9836,0.9996,2.45e-05,1.1
19,val,0.052991,0.9826,0.9999,2.45e-05,1.2
20,train,0.051151,0.9838,0.9997,6.16e-06,1.1
20,val,0.053180,0.9828,0.9999,6.16e-06,1.2
