step,train_loss,val_loss,lr,time_ms
0,4.3339,4.3306,0.00e+00,9
250,2.0620,2.2734,2.99e-04,137
500,1.7056,2.2219,2.96e-04,138
750,1.2953,2.4679,2.88e-04,139
1000,0.8719,2.9409,2.78e-04,139
1250,0.5711,3.4060,2.65e-04,139
1500,0.4160,3.8414,2.49e-04,139
1750,0.3181,4.1171,2.31e-04,140
2000,0.2609,4.3675,2.12e-04,140
2250,0.2235,4.6524,1.91e-04,140
2500,0.1902,4.8257,1.69e-04,140
2750,0.1691,5.0084,1.48e-04,140
3000,0.1540,5.1469,1.27e-04,140
3250,0.1394,5.2305,1.06e-04,140
3500,0.1306,5.3147,8.78e-05,140
3750,0.1225,5.3874,7.11e-05,140
4000,0.1172,5.4800,5.68e-05,140
4250,0.1118,5.4768,4.53e-05,140
4500,0.1083,5.5141,3.69e-05,140
4750,0.1051,5.5651,3.17e-05,140
step,train_loss,val_loss,lr,time_ms
0,4.3339,4.3306,0.00e+00,8
250,2.0624,2.2739,2.99e-04,138
500,1.7061,2.2222,2.96e-04,139
750,1.2954,2.4678,2.88e-04,139
1000,0.8693,2.9397,2.78e-04,139
1250,0.5749,3.4054,2.65e-04,140
1500,0.4124,3.8347,2.49e-04,140
1750,0.3184,4.1127,2.31e-04,140
2000,0.2601,4.3851,2.12e-04,139
2250,0.2204,4.6187,1.91e-04,140
2500,0.1929,4.8444,1.69e-04,139
2750,0.1687,5.0069,1.48e-04,140
3000,0.1545,5.1405,1.27e-04,140
3250,0.1408,5.1961,1.06e-04,140
3500,0.1310,5.2893,8.78e-05,140
3750,0.1226,5.3402,7.11e-05,140
4000,0.1171,5.4450,5.68e-05,139
4250,0.1118,5.4675,4.53e-05,140
4500,0.1082,5.4927,3.69e-05,139
4750,0.1049,5.5373,3.17e-05,139
